iter	Passed	Remaining
0	59	59284
1	59	29816
2	60	19963
3	60	15061
4	60	12107
5	61	10139
6	61	8764
7	62	7702
8	62	6881
9	62	6227
10	63	5704
11	63	5254
12	64	4880
13	64	4560
14	65	4278
15	65	4026
16	65	3810
17	66	3614
18	66	3435
19	66	3278
20	67	3135
21	67	3005
22	68	2898
23	68	2795
24	69	2701
25	69	2612
26	70	2537
27	70	2462
28	71	2391
29	71	2325
30	72	2260
31	72	2200
32	73	2144
33	73	2090
34	73	2038
35	74	1993
36	75	1952
37	75	1911
38	75	1870
39	76	1831
40	76	1793
41	77	1761
42	77	1731
43	78	1701
44	78	1671
45	79	1642
46	79	1614
47	80	1591
48	80	1568
49	81	1542
50	81	1521
51	82	1498
52	82	1476
53	83	1457
54	83	1438
55	84	1418
56	84	1399
57	85	1382
58	85	1367
59	86	1351
60	86	1335
61	87	1318
62	87	1302
63	87	1286
64	88	1272
65	88	1258
66	89	1246
67	90	1233
68	90	1219
69	90	1208
70	91	1194
71	91	1181
72	91	1167
73	92	1154
74	92	1143
75	93	1132
76	93	1121
77	94	1111
78	94	1101
79	94	1090
80	95	1080
81	95	1072
82	96	1060
83	96	1051
84	96	1042
85	97	1033
86	97	1025
87	98	1017
88	98	1010
89	99	1002
90	99	994
91	100	987
92	100	981
93	101	976
94	101	969
95	102	962
96	102	956
97	103	949
98	103	942
99	104	936
100	104	931
101	104	924
102	105	918
103	105	912
104	106	906
105	107	902
106	107	898
107	108	892
108	108	888
109	109	882
110	109	877
111	110	873
112	110	869
113	111	863
114	111	859
115	112	853
116	112	848
117	112	842
118	113	837
119	113	834
120	114	830
121	114	824
122	115	821
123	115	816
124	115	811
125	116	809
126	117	806
127	117	802
128	118	798
129	118	794
130	119	790
131	119	786
132	119	782
133	120	778
134	120	774
135	121	771
136	121	767
137	122	764
138	122	761
139	123	757
140	124	758
141	124	753
142	125	750
143	125	747
144	126	745
145	126	741
146	127	737
147	127	734
148	128	732
149	128	730
150	129	727
151	129	723
152	130	720
153	130	718
154	131	716
155	131	712
156	132	709
157	132	707
158	133	704
159	133	701
160	133	697
161	134	694
162	134	691
163	135	688
164	135	685
165	136	683
166	136	680
167	136	678
168	137	675
169	137	672
170	138	670
171	138	667
172	138	663
173	139	660
174	139	657
175	139	655
176	140	652
177	140	649
178	140	646
179	141	643
180	141	640
181	141	638
182	142	635
183	142	632
184	142	629
185	143	627
186	143	624
187	143	621
188	144	618
189	144	616
190	144	613
191	145	611
192	145	608
193	146	606
194	147	608
195	148	607
196	148	605
197	149	603
198	149	601
199	149	599
200	150	597
201	150	595
202	151	593
203	151	592
204	152	590
205	152	588
206	153	587
207	153	586
208	154	584
209	155	583
210	155	581
211	156	580
212	156	578
213	157	576
214	157	575
215	158	574
216	158	572
217	159	570
218	159	569
219	159	567
220	160	565
221	160	563
222	161	561
223	161	559
224	162	558
225	162	557
226	163	555
227	163	554
228	164	552
229	164	551
230	165	549
231	165	548
232	166	546
233	166	545
234	166	543
235	167	542
236	167	540
237	168	539
238	168	537
239	169	535
240	169	533
241	169	532
242	170	530
243	171	529
244	171	528
245	172	527
246	172	526
247	172	524
248	173	523
249	174	522
250	174	520
251	175	519
252	175	517
253	175	516
254	176	515
255	176	513
256	177	512
257	177	511
258	178	510
259	179	509
260	179	508
261	179	506
262	180	505
263	180	504
264	181	503
265	181	501
266	182	500
267	182	499
268	183	498
269	183	497
270	184	495
271	184	494
272	185	493
273	185	491
274	186	490
275	186	489
276	187	488
277	187	487
278	188	486
279	188	485
280	189	483
281	189	482
282	190	481
283	190	480
284	191	480
285	191	479
286	192	477
287	192	476
288	193	475
289	193	474
290	194	473
291	194	472
292	195	471
293	195	470
294	196	468
295	196	467
296	197	466
297	198	466
298	198	465
299	198	464
300	199	463
301	199	461
302	200	460
303	200	459
304	201	458
305	201	457
306	202	456
307	202	454
308	203	453
309	203	452
310	203	451
311	204	450
312	204	449
313	205	448
314	205	447
315	206	446
316	206	445
317	207	444
318	207	443
319	208	442
320	208	440
321	208	439
322	209	438
323	209	437
324	210	436
325	210	435
326	211	434
327	211	434
328	212	433
329	212	432
330	213	431
331	213	430
332	214	429
333	214	428
334	215	427
335	215	426
336	216	425
337	216	424
338	217	424
339	218	423
340	218	422
341	218	421
342	219	419
343	219	419
344	220	418
345	220	417
346	221	416
347	221	415
348	222	414
349	223	414
350	223	413
351	224	412
352	224	412
353	225	410
354	225	409
355	225	408
356	226	407
357	226	407
358	227	406
359	228	405
360	228	404
361	229	403
362	229	403
363	230	402
364	230	401
365	231	400
366	231	399
367	232	398
368	232	397
369	232	396
370	233	395
371	233	394
372	234	394
373	235	393
374	235	392
375	236	392
376	236	391
377	237	390
378	238	390
379	238	389
380	239	388
381	239	387
382	240	386
383	240	385
384	240	384
385	241	384
386	241	383
387	242	382
388	242	381
389	243	380
390	243	379
391	244	379
392	245	378
393	245	377
394	246	377
395	246	376
396	247	375
397	247	374
398	248	374
399	248	373
400	249	372
401	250	372
402	250	371
403	251	370
404	251	369
405	252	368
406	252	368
407	253	367
408	253	366
409	254	366
410	254	365
411	255	364
412	255	363
413	256	362
414	257	362
415	258	362
416	258	361
417	258	360
418	259	359
419	259	358
420	259	357
421	260	356
422	260	355
423	260	354
424	261	353
425	261	352
426	262	351
427	262	350
428	262	349
429	263	348
430	263	347
431	263	347
432	264	346
433	264	345
434	265	344
435	265	343
436	266	343
437	266	342
438	267	341
439	267	340
440	268	340
441	268	339
442	269	338
443	269	337
444	270	337
445	270	336
446	271	335
447	271	334
448	272	333
449	272	333
450	273	332
451	273	331
452	273	330
453	274	329
454	274	328
455	275	328
456	275	327
457	276	326
458	276	325
459	277	325
460	277	324
461	278	323
462	278	322
463	278	322
464	279	321
465	279	320
466	280	319
467	280	318
468	281	318
469	281	317
470	282	316
471	282	315
472	282	315
473	283	314
474	283	313
475	283	312
476	284	311
477	285	311
478	285	310
479	285	309
480	286	309
481	287	308
482	287	307
483	288	307
484	288	306
485	288	305
486	289	304
487	289	304
488	290	303
489	291	302
490	291	302
491	291	301
492	292	300
493	292	299
494	293	299
495	293	298
496	294	297
497	294	297
498	295	296
499	295	295
500	296	295
501	296	294
502	297	293
503	297	293
504	298	292
505	298	291
506	299	291
507	299	290
508	300	289
509	300	289
510	301	288
511	301	287
512	302	286
513	302	286
514	303	285
515	303	284
516	304	284
517	304	283
518	305	282
519	305	281
520	305	281
521	306	280
522	306	279
523	307	279
524	307	278
525	307	277
526	308	276
527	308	276
528	309	275
529	309	274
530	310	273
531	310	273
532	311	272
533	311	272
534	312	271
535	312	270
536	313	270
537	314	269
538	314	269
539	315	268
540	315	267
541	316	267
542	316	266
543	316	265
544	317	265
545	318	264
546	318	263
547	318	263
548	319	262
549	320	261
550	320	261
551	320	260
552	321	259
553	321	259
554	322	258
555	322	257
556	323	257
557	323	256
558	324	255
559	324	254
560	325	254
561	325	253
562	325	252
563	326	252
564	327	251
565	327	251
566	327	250
567	328	249
568	328	249
569	329	248
570	329	247
571	330	247
572	330	246
573	331	245
574	331	245
575	332	244
576	332	243
577	333	243
578	333	242
579	333	241
580	334	241
581	334	240
582	335	239
583	336	239
584	336	238
585	336	237
586	337	237
587	337	236
588	338	235
589	338	235
590	339	234
591	339	234
592	340	233
593	340	233
594	341	232
595	342	231
596	342	231
597	343	230
598	343	229
599	343	229
600	344	228
601	344	227
602	345	227
603	345	226
604	346	226
605	346	225
606	347	224
607	347	224
608	348	223
609	348	223
610	349	222
611	349	221
612	350	221
613	350	220
614	351	219
615	351	219
616	352	218
617	352	217
618	353	217
619	353	216
620	353	216
621	354	215
622	354	214
623	355	214
624	355	213
625	356	212
626	356	212
627	357	211
628	357	210
629	358	210
630	358	209
631	359	209
632	359	208
633	359	207
634	360	207
635	360	206
636	361	205
637	361	205
638	362	204
639	362	203
640	363	203
641	363	202
642	364	202
643	364	201
644	365	200
645	365	200
646	365	199
647	366	199
648	367	198
649	367	197
650	367	197
651	368	196
652	368	195
653	369	195
654	369	194
655	370	194
656	370	193
657	371	192
658	371	192
659	372	191
660	372	191
661	373	190
662	373	189
663	373	189
664	374	188
665	374	187
666	374	187
667	375	186
668	375	185
669	375	185
670	376	184
671	376	183
672	376	183
673	377	182
674	377	181
675	377	181
676	378	180
677	378	179
678	378	179
679	379	178
680	379	177
681	380	177
682	380	176
683	381	176
684	381	175
685	381	174
686	382	174
687	382	173
688	383	173
689	383	172
690	383	171
691	384	171
692	385	170
693	385	169
694	385	169
695	386	168
696	386	168
697	387	167
698	387	166
699	388	166
700	388	165
701	388	165
702	389	164
703	389	163
704	390	163
705	390	162
706	391	162
707	391	161
708	392	161
709	392	160
710	393	159
711	393	159
712	393	158
713	394	157
714	394	157
715	394	156
716	395	155
717	395	155
718	396	154
719	396	154
720	398	154
721	398	153
722	398	152
723	399	152
724	399	151
725	400	151
726	400	150
727	401	149
728	401	149
729	402	148
730	402	148
731	403	147
732	403	147
733	404	146
734	404	145
735	404	145
736	405	144
737	405	144
738	406	143
739	406	142
740	407	142
741	407	141
742	408	141
743	408	140
744	409	140
745	409	139
746	410	138
747	410	138
748	411	137
749	411	137
750	411	136
751	412	136
752	412	135
753	413	134
754	413	134
755	414	133
756	415	133
757	415	132
758	416	132
759	416	131
760	417	131
761	417	130
762	418	129
763	418	129
764	418	128
765	419	128
766	420	127
767	420	127
768	421	126
769	421	125
770	422	125
771	422	124
772	423	124
773	423	123
774	424	123
775	424	122
776	425	121
777	425	121
778	425	120
779	426	120
780	426	119
781	427	119
782	427	118
783	428	117
784	428	117
785	428	116
786	429	116
787	429	115
788	430	115
789	430	114
790	431	113
791	431	113
792	432	112
793	432	112
794	432	111
795	433	111
796	433	110
797	434	109
798	434	109
799	435	108
800	435	108
801	436	107
802	436	107
803	437	106
804	437	106
805	438	105
806	438	104
807	439	104
808	439	103
809	440	103
810	440	102
811	441	102
812	441	101
813	441	100
814	442	100
815	442	99
816	443	99
817	444	98
818	444	98
819	444	97
820	445	97
821	445	96
822	446	95
823	446	95
824	446	94
825	447	94
826	448	93
827	448	93
828	449	92
829	449	92
830	449	91
831	450	90
832	450	90
833	451	89
834	451	89
835	452	88
836	452	88
837	453	87
838	453	87
839	453	86
840	454	85
841	454	85
842	455	84
843	455	84
844	456	83
845	456	83
846	457	82
847	457	81
848	457	81
849	458	80
850	458	80
851	459	79
852	459	79
853	460	78
854	460	78
855	460	77
856	461	77
857	462	76
858	462	75
859	462	75
860	463	74
861	463	74
862	464	73
863	464	73
864	465	72
865	465	72
866	465	71
867	466	70
868	466	70
869	466	69
870	467	69
871	467	68
872	468	68
873	468	67
874	469	67
875	469	66
876	469	65
877	470	65
878	470	64
879	471	64
880	471	63
881	472	63
882	472	62
883	473	62
884	473	61
885	474	61
886	474	60
887	475	59
888	475	59
889	475	58
890	476	58
891	476	57
892	477	57
893	477	56
894	478	56
895	478	55
896	479	55
897	479	54
898	480	53
899	480	53
900	481	52
901	481	52
902	481	51
903	482	51
904	482	50
905	483	50
906	483	49
907	484	49
908	484	48
909	485	47
910	485	47
911	486	46
912	487	46
913	487	45
914	488	45
915	488	44
916	489	44
917	489	43
918	490	43
919	490	42
920	491	42
921	491	41
922	491	41
923	492	40
924	492	39
925	492	39
926	493	38
927	493	38
928	493	37
929	494	37
930	494	36
931	494	36
932	495	35
933	495	35
934	496	34
935	496	33
936	497	33
937	497	32
938	497	32
939	498	31
940	498	31
941	499	30
942	499	30
943	500	29
944	500	29
945	500	28
946	501	28
947	501	27
948	502	26
949	502	26
950	503	25
951	503	25
952	503	24
953	504	24
954	504	23
955	505	23
956	505	22
957	506	22
958	506	21
959	507	21
960	507	20
961	507	20
962	508	19
963	508	19
964	509	18
965	509	17
966	510	17
967	510	16
968	511	16
969	511	15
970	511	15
971	512	14
972	512	14
973	513	13
974	513	13
975	514	12
976	514	12
977	515	11
978	515	11
979	515	10
980	516	10
981	517	9
982	517	8
983	518	8
984	518	7
985	519	7
986	519	6
987	520	6
988	520	5
989	521	5
990	521	4
991	522	4
992	522	3
993	523	3
994	523	2
995	523	2
996	524	1
997	525	1
998	525	0
999	525	0
